Movie Name,Year,Rating,Director,Star,Gross
The Shawshank Redemption,1994,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, ",$28.34M
The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, ",$134.97M
The Dark Knight,2008,9,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, ",$534.86M
The Godfather: Part II,1974,9,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, ",$57.30M
Pulp Fiction,1994,8.9,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, ",$107.93M
Schindler's List,1993,8.9,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, ",$96.07M
The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, ",$377.85M
12 Angry Men,1957,8.9,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, ","558,116"
"Il buono, il brutto, il cattivo",1966,8.9,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, ",$6.10M
Inception,2010,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe, ",$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, ",$315.54M
Fight Club,1999,8.8,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, ",$37.03M
Forrest Gump,1994,8.8,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, ",$330.25M
Star Wars: Episode V - The Empire Strikes Back,1980,8.8,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, ",$290.48M
Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, ",$46.84M
The Matrix,1999,8.7,Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, ",$171.48M
One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman, ",$112.00M
The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, ",$342.55M
Shichinin no samurai,1954,8.7,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, ",$0.27M
Avengers: Infinity War,2018,8.6,Anthony Russo,"Joe Russo, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, ",$678.82M
Interstellar,2014,8.6,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, ",$188.02M
Se7en,1995,8.6,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, ",$100.13M
The Silence of the Lambs,1991,8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons, ",$130.74M
Léon,1994,8.6,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, ",$19.50M
Star Wars,1977,8.6,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, ",$322.74M
Saving Private Ryan,1998,8.6,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, ",$216.54M
The Usual Suspects,1995,8.6,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin, ",$23.34M
Sen to Chihiro no kamikakushi,2001,8.6,Hayao Miyazaki,"Kirk Wise, Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi, ",$10.06M
Cidade de Deus,2002,8.6,Fernando Meirelles,"Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen, ",$7.56M
La vita è bella,1997,8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, ",$57.60M
It's a Wonderful Life,1946,8.6,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, ",$7.27M
City Lights,1931,8.6,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, ",$0.02M
Gladiator,2000,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, ",$187.71M
The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, ",$132.38M
Back to the Future,1985,8.5,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, ",$210.61M
Alien,1979,8.5,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, ",$78.90M
The Lion King,1994,8.5,Roger Allers,"Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, ",$312.90M
The Green Mile,1999,8.5,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, ",$136.80M
The Prestige,2006,8.5,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine, ",$53.09M
Whiplash,2014,8.5,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, ",$13.09M
Apocalypse Now,1979,8.5,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, ",$83.47M
Psycho,1960,8.5,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, ",$32.00M
Memento,2000,8.5,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, ",$25.54M
Raiders of the Lost Ark,1981,8.5,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, ",$248.16M
American History X,1998,8.5,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, ",$6.72M
Terminator 2: Judgment Day,1991,8.5,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, ",$204.84M
The Intouchables,2011,8.5,Olivier Nakache,"Éric Toledano, François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, ",$13.18M
The Pianist,2002,8.5,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, ",$32.57M
Dangal,2016,8.5,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, ",$12.39M
Casablanca,1942,8.5,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, ",$1.02M
